hotel_name,name,rating,review
C3 Hotel Ungaran,chrno cruz,4.0,"my first visit was around 8 to 9 years ago, and nothing really change in terms of room quality. it's clean, neat, have a good air circulation even though it doesn't have a window (for twin bed rooms). but for sure, it's more pricey in 2022 than from my first visit...still reasonable though. what i like, there's a bar-service (meal order to the room), spacey parking lot, and good service. i'm not a demanding person....so when my room is clean, neat, and dry with all the feature working just fine, then it's all good for me. but when talk about elderly....this hotel isn't senior-friendly...not quite...there's no elevator/lift which may become quite a problem from senior guest who has health issues for reach even the second floor (up to third floor). still...C3 hotel will be my first alternative to stay, for i know for sure, i will have a comfy and nice rest here and if i has enough in my wallet...heheh..."
C3 Hotel Ungaran,Egi Dio,5.0,"Decent cafe, but just accross the street from sate sapi pak kempleng makes a difference.."
C3 Hotel Ungaran,Aprilla Ginting,4.0,"Friendly and helpful staff. The room was comfortable,clean. Worth the money. The breakfast was just fine"
C3 Hotel Ungaran,Candra Ar,3.0,"Need to improve cleanliness of bedroom and bathroom...especially bathroom was very dirty.. makes me hard to take picture for this hotel.. the only good point for this hotel was the place, very strategic located on main road to semarang and sorrounded with many traditional mid java food stalls.."
C3 Hotel Ungaran,Dinny أم Abizar,5.0,Clean room. Cozy atmosphere. Strategic location. The restaurant was good.
C3 Hotel Ungaran,aulia avis,3.0,This hotel for transit or temporary rest. Had big problem about hygiene. Food good (nov 2018)
C3 Hotel Ungaran,Ivan Kwee,4.0,"Nice place to transit and crash for a night, have a good restaurant, nice tasty breakfast. Many food surrounding"
C3 Hotel Ungaran,Iswahyudi,4.0,Nice small hotel with good 24/7 restaurant
C3 Hotel Ungaran,Zeeni Miftah,5.0,Sipp jossRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
C3 Hotel Ungaran,Memik Nor Fadilah,4.0,"Nice place, clean and tidy but the parking area is so small"
C3 Hotel Ungaran,Budi S,4.0,Good hotel. Got all the basics right. Speedy wifi. :) Lots of food and restaurant nearby. Must try: Sate Kempleng across the street.The cafe is 24 hours. The coffee is quite good!
C3 Hotel Ungaran,Ibu Dita Sutrisno,4.0,"The location is next to the highway, the food is not expensive n the taste is great"
C3 Hotel Ungaran,Bambang Susilo,5.0,"This hotel location is on Ungaran,Jawa Tengah. Rooms was so comfotable,and service was very good"
C3 Hotel Ungaran,Julia SKB,3.0,Strategic location. Clean. Good food. Affordable price
C3 Hotel Ungaran,Martha Suryana,4.0,Nice hotel but less parking area
C3 Hotel Ungaran,Sharif Rahman,4.0,Full Recommended.Good hospitality.Good in service.
C3 Hotel Ungaran,Angga Hartoto,5.0,Stayed here. Nice 2 star hotel.
C3 Hotel Ungaran,Hadisusilo S.H.,3.0,"Clean and convenient hotel in Ungaran, breakfast also good."
C3 Hotel Ungaran,Maryati Lelana Sari,4.0,"Good hotel for traveller Or backpackers, the breakfast was awesome and fresh"
C3 Hotel Ungaran,Mochamad Rizqi,3.0,"Good service, good cooking, affordable price"
C3 Hotel Ungaran,Christian Suhartono,4.0,"Nice hotel, clean and friendly"
C3 Hotel Ungaran,Rifqi a,5.0,"Real Clean, cold n comfort.Thankyou"
C3 Hotel Ungaran,Sri Bintang,5.0,Good room and easy to access resto for dinner meal
C3 Hotel Ungaran,IndRa Goen,3.0,"Good accommodation, but to expensive, the price more than 5 ⭐ hotel.."
C3 Hotel Ungaran,Endah Bunda Kinaka,5.0,Cheap n comfort
C3 Hotel Ungaran,Erlangga Suryo Adi,5.0,It's good place for stay..
C3 Hotel Ungaran,Muhamad Taufik Dwi Arifianto,5.0,"Good Room, Good Meeting Room, Kindly Staff"
C3 Hotel Ungaran,Dina Martia,4.0,"The hotel location is strategic, near by the university, not so far from the city of Semarang or part of Ungaran, right on the main road of Semarang-Solo Jogja. my room might not as huge as my friend’s room, yet I have a beautiful scenery right from my window, it’s Ungaran mountain..so lovely wakeup whis this kind of view..😍 since it just have 3 floor, it doesn’t have an elevator, so you need to take your luggage bu your own by the stairs. And again this is little notable for me since I have to stay here for mor than 4 days, so my luggage is quite heavy..Luckily my room is in the second floor. So do for the ballroom, the ballroom we use to have training is in the 2nd floor, and there is no toilet upstairs, so we need to go downstairs to go to the restroom.. The food is fine...and the snacks as well.. I love the artistic of putting the inspiration and positive quote along the corridor wall.."
C3 Hotel Ungaran,Latifah Nur Aini,5.0,Quite clean but littlebit expensive
C3 Hotel Ungaran,Arenal Arenal,1.0,Not recommended at all.Room dirty.Shower dirty.No water for shower.
C3 Hotel Ungaran,Syahrizal Bobi,4.0,Restonya da best
C3 Hotel Ungaran,Hero Wijayadi,4.0,"Good, Clean hotel in ungaran"
C3 Hotel Ungaran,Arief Firdaus (Abu Zefa),3.0,low cost budget hotel
C3 Hotel Ungaran,Charles Parlindungan,5.0,OkRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
C3 Hotel Ungaran,Yasmin Hilwa,5.0,OkRooms: 5/5 | Service: 5/5 | Location: 5/5 …More
C3 Hotel Ungaran,rehobot Id,5.0,Nice and comfortable place..
C3 Hotel Ungaran,octavianus aurelian,4.0,nice... great food... cozy room... love it
C3 Hotel Ungaran,Raditya Raditya,5.0,Front office very handsome and humble 😬
C3 Hotel Ungaran,dodyindrajati ST,5.0,Good quality hotel
C3 Hotel Ungaran,Agoes Rizatp,3.0,Clean friendly service
C3 Hotel Ungaran,Erma Wulandari,5.0,"Just like the slogan clean, cool, and comfortable"
C3 Hotel Ungaran,varun kaushik,5.0,Good place side by dominos
C3 Hotel Ungaran,Septian Gunardi,5.0,"clean, comfort n cozy"
C3 Hotel Ungaran,chan trau,4.0,Wifi.not good
C3 Hotel Ungaran,Henri Setiaji,5.0,Clean and affordable
C3 Hotel Ungaran,Mukholid Aprihani,5.0,Hotel wik wik
C3 Hotel Ungaran,Asep Gandana,4.0,Nice hotel
C3 Hotel Ungaran,Omde Fian,5.0,Clean and quietService: 5/5 | Location: 5/5 …More
C3 Hotel Ungaran,Doni Prasetyoadi,5.0,nice place..
C3 Hotel Ungaran,denbagus agung,3.0,Good service
C3 Hotel Ungaran,Afin Bolobolo,5.0,Good place
C3 Hotel Ungaran,Fuad Romansah,4.0,"Clean, cool, comfy"
C3 Hotel Ungaran,Sultan Tamara,5.0,Nice play to stay
C3 Hotel Ungaran,Muhammad Saefudin,3.0,Representative for business purpose in the vicinity of Ungaran
C3 Hotel Ungaran,Viktor Pane,4.0,Nice and clean
C3 Hotel Ungaran,Alris,5.0,Excellent service
C3 Hotel Ungaran,kenz wibowo,5.0,cheap and good service
C3 Hotel Ungaran,M. Noriega,4.0,Youre Ok
C3 Hotel Ungaran,roos wahyoe,5.0,"Cozy place to stay, near vacation destinations.."
C3 Hotel Ungaran,KEN-BLAKE AUTO DETAILING (KENBLAKE),5.0,Nice place
C3 Hotel Ungaran,Den Manar,4.0,Good as expected
C3 Hotel Ungaran,Donna Theo,5.0,nice place and nice room ..
C3 Hotel Ungaran,Zainal Abidin,5.0,Favorite place
C3 Hotel Ungaran,Intra,3.0,Delicious Cofee
C3 Hotel Ungaran,Mito Z1,5.0,Good
C3 Hotel Ungaran,Marlia Prasetyo,3.0,Nice interior
C3 Hotel Ungaran,Slamet Riyadi (JP-Cards),5.0,Good. Recommended.
C3 Hotel Ungaran,Zaedun Jambu,5.0,Ok
C3 Hotel Ungaran,Alex Forester,3.0,Four leaf
C3 Hotel Ungaran,Irfan Hermawan,5.0,Good
C3 Hotel Ungaran,Toni Rahmadi Moewardiyanto,5.0,Good....
C3 Hotel Ungaran,Sakti Al Fattaah,4.0,Its okay
C3 Hotel Ungaran,Teguh Wiyono,5.0,luxury
C3 Hotel Ungaran,wien 92,5.0,Good
C3 Hotel Ungaran,Al Dzaki Egiansyah,5.0,I like
C3 Hotel Ungaran,edy sulis,3.0,Ok
C3 Hotel Ungaran,Ikhsan ibnul Mubarok,5.0,Good
C3 Hotel Ungaran,lulu mari Fitria,5.0,Ok
C3 Hotel Ungaran,Fredy Xen,5.0,Nice
C3 Hotel Ungaran,imamazisn neo,4.0,Good
C3 Hotel Ungaran,Husein Muzani12,1.0,Good
C3 Hotel Ungaran,Taton Kurniawan,5.0,Ok
C3 Hotel Ungaran,Muchtar Arifin,3.0,Ok
